"","length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status","id"
"1",77,23,"1",1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,"0","1",0.298701299,0,0,0,"0","0","0",1,"0","0","0",0,1,0,4,4,2,19,2,32,19,32,15.75,19,14.66666667,0,"0",0,0,"0",0,30,0.966666667,0.033333333,0,0,0,0,0,0,"0","0",100,0,80,20,0,0,0,100,0,"0","0","1","0","0",77,5767,0,0,"1","2","1",1
"2",27,16,"0",2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,"0","1",0,0,0,0,"0","0","0",2,"0","0","0",0,0,0,3,3,2,3,2,8,8,2,4.333333333,5.5,2,0,"0",0,0,"0",0,716,0.660614525,0.339385475,0,1,0,0,0,0,"0","1",98.57142857,0,0,100,0,0,0,0,0,"0","0","1","1","0",124,1703,1095998,0,"0","1","0",2
"3",34,25,"0",2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","0",0.029411765,0.04,0,0,"0","0","0",2,"1","0","0",0,0,0,3,0,6,6,0,8,8,0,6.666666667,6.666666667,0,0,"1",0,0,"0",0,84,0.952380952,0.047619048,0,1,0,0,0,0.25,"1","1",50,0,100,0,0,0,0,100,0,"0","0","1","1","0",215,2706,0,0,"1","4","1",3
"4",59,42,"0",5,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,"0","1",0.016949153,0.023809524,0,0,"0","0","0",3,"0","0","1",0,0,0,8,1,1,1,4,9,9,4,5.125,5.5,4,0,"0",0,0,"0",0,21,0.19047619,0.80952381,0,1,0,0.294117647,0,0,"0","1",0,0,20,80,0,0,0,25,0,"0","0","1","1","0",217,5627,0,0,"1","5","1",4
"5",71,13,"0",3,0,1,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,"0","0",0,0,0,0,"1","0","0",3,"0","0","1",0,0,0,9,1,3,9,3,11,9,11,5.666666667,9,5.25,0,"0",0,0,"0",0,13,0.846153846,0.153846154,0,0,0,0,0,0,"0","0",100,0,0,100,0,0,0,100,0,"0","0","1","1","0",98,268,0,0,"1","0","1",5
"6",33,16,"0",2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","1",0,1,0,4,5,2,3,2,8,8,5,4.5,5.5,3.5,0,"0",0,0,"0",0,29,0.517241379,0.482758621,0,2,0,0,0,0,"0","1",23.07692308,0,100,0,0,0,0,100,0,"0","0","1","0","0",149,582,238940,0,"1","3","1",6
"7",36,15,"0",3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,"0","1",0,0,0,0,"0","0","0",3,"0","0","0",0,0,0,4,1,3,8,3,8,8,4,4.75,8,3.666666667,0,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","0","1","0","0",620,-1,3578462,0,"1","0","1",7
"8",31,22,"0",2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,"0","0",0,0,0,0,"0","0","0",2,"0","0","1",0,0,0,2,3,3,3,0,15,15,0,9,9,0,0,"0",0,0,"0",0,25,0.96,0.04,0,0,0,0,0,0,"0","0",100,0,0,100,0,0,0,0,0,"0","0","1","0","0",784,1041,71037,0,"0","2","0",8
"9",90,17,"1",3,4,0,0,0,0,0,3,0,0,8,0,1,0,0,0,0,1,0,0,"0","1",0.144444444,0,0,0,"0","0","0",3,"1","0","0",0,1,0,16,7,2,3,2,8,4,8,4,3.666666667,4.076923077,1,"0",0,0,"0",0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,0,0,0,0,0,0,"0","1","1","1","0",236,8896,596512,0,"0","3","0",9
"10",91,18,"1",3,0,0,1,0,0,2,0,0,0,4,0,1,0,1,0,0,0,0,0,"0","0",0.087912088,0,0,0,"0","0","0",3,"0","1","0",0,1,0,8,1,2,3,2,31,11,31,9.125,7,9.833333333,0,"0",0,0,"0",0,22,1,0,0,0,0,0,0,0,"0","0",100,0,0,0,0,0,0,100,0,"0","0","1","1","0",0,-1,67041,0,"1","5","1",10
