"","...1","url","length_url","length_hostname","ip","nb_dots","nb_hyphens","nb_at","nb_qm","nb_and","nb_or","nb_eq","nb_underscore","nb_tilde","nb_percent","nb_slash","nb_star","nb_colon","nb_comma","nb_semicolumn","nb_dollar","nb_space","nb_www","nb_com","nb_dslash","http_in_path","https_token","ratio_digits_url","ratio_digits_host","punycode","port","tld_in_path","tld_in_subdomain","abnormal_subdomain","nb_subdomains","prefix_suffix","random_domain","shortening_service","path_extension","nb_redirection","nb_external_redirection","length_words_raw","char_repeat","shortest_words_raw","shortest_word_host","shortest_word_path","longest_words_raw","longest_word_host","longest_word_path","avg_words_raw","avg_word_host","avg_word_path","phish_hints","domain_in_brand","brand_in_subdomain","brand_in_path","suspecious_tld","statistical_report","nb_hyperlinks","ratio_intHyperlinks","ratio_extHyperlinks","ratio_nullHyperlinks","nb_extCSS","ratio_intRedirection","ratio_extRedirection","ratio_intErrors","ratio_extErrors","login_form","external_favicon","links_in_tags","submit_email","ratio_intMedia","ratio_extMedia","sfh","iframe","popup_window","safe_anchor","onmouseover","right_clic","empty_title","domain_in_title","domain_with_copyright","whois_registered_domain","domain_registration_length","domain_age","web_traffic","dns_record","google_index","page_rank","status"
"1",491,"http://javascript.info/date",27,15,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,4,10,4,10,10,4,7,10,4,0,0,0,0,0,0,164,0.835365854,0.164634146,0,0,0,0,0,0,0,0,91.66666667,0,100,0,0,0,0,80.15267176,0,0,0,1,1,0,791,6879,8580,0,0,5,0
"2",3721,"http://paii.com.co/.de",22,11,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,1,2,4,2,4,4,2,3,4,2,0,0,0,0,0,0,58,0.844827586,0.155172414,0,0,0,0.222222222,0,0.222222222,0,0,75,0,95.83333333,4.166666667,0,0,0,58.82352941,0,0,0,0,1,0,276,819,4514903,0,1,0,1
"3",5580,"http://www.azurespeed.com/",26,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,4,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,12,0.833333333,0.166666667,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,0,0,147,2406,297796,0,0,4,0
"4",1608,"http://t-loves.narod.ru",23,16,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,1,1,0,5,5,0,3.666666667,3.666666667,0,0,0,0,0,0,0,196,0.984693878,0.015306122,0,0,0,1.333333333,0,0,0,0,100,0,95.45454545,4.545454545,0,0,0,33.33333333,0,0,0,1,1,0,159,7533,333891,0,0,5,0
"5",1462,"https://msdn.microsoft.com/en-us/library/windows/desktop/bb288384(v=vs.85).aspx",79,18,1,4,1,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.101265823,0,0,0,0,0,0,3,1,0,1,0,1,0,11,2,2,4,2,10,9,10,5.181818182,6.5,4.888888889,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,282,10677,23,0,1,8,0
"6",7591,"https://en.m.wikipedia.org/wiki/Packet_sniffing",47,18,0,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,1,1,4,9,9,8,5,4,6,0,1,0,0,0,0,180,0.944444444,0.055555556,0,0,0,0.1,0,0.1,0,0,100,0,100,0,0,0,0,65.51724138,0,0,0,0,0,0,905,7130,12,0,1,7,0
"7",9939,"http://support-appleld.com.secureupdate.duilawyeryork.com/ap/a59720af1aca758/?cmd=_update&dispatch=a59720af1aca758ba&locale=_jp",127,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0.141732283,0,0,0,0,1,0,3,1,0,0,0,0,0,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3992,5707171,0,1,0,1
"8",4440,"http://www.csus.edu/indiv/s/schaefer/presentations/ch09.pdf",59,12,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0.033898305,0,0,0,0,0,0,3,0,0,0,0,1,0,8,3,1,3,1,13,4,13,5.125,3.5,5.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11271,25936,0,0,5,0
"9",7439,"http://joshtobye.com/3.mtb.com/www3.mtb.com/?signin=@userid&session_id=skjdfsd87ffsdf87sdfsdhfdf78sdfgysidf87sdf3d4b1030caea831b0e06bd749",137,13,1,5,0,1,1,1,0,2,1,0,0,5,0,1,0,0,0,0,1,2,0,0,1,0.182481752,0,0,0,1,0,0,3,0,0,0,0,0,0,12,5,1,9,1,66,9,66,9.416666667,9,9.454545455,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,333,31,0,0,1,0,1
"10",6287,"http://email.m-aut.ru/cn/dhl/dhl/w51kl6qmcn1d6j96euuzihsn73dce75d92181ca956e737b3cb66db98.php",93,14,1,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.290322581,0,0,0,0,0,0,3,1,0,0,0,0,0,8,2,1,1,2,56,5,56,9.5,3,13.4,0,0,0,0,0,0,10,0.6,0.4,0,0,0,0.25,0,0,0,1,50,0,100,0,0,0,0,50,0,0,0,1,0,0,303,62,0,0,1,0,1
